Interest Code,Job Zone,Occupation
RC,3,Nuclear Power Reactor Operators
RCI,3,Nuclear Technicians
RCI,3,Occupational Health and Safety Technicians
RCI,3,Ophthalmic Medical Technicians
RIC,3,Ophthalmic Medical Technologists
RCA,3,"Patternmakers, Metal and Plastic"
RCA,3,"Patternmakers, Wood"
RCI,3,Phlebotomists
RA,3,Photographers
RCI,3,Photonics Technicians
RC,3,"Plumbers, Pipefitters, and Steamfitters"
RCE,3,Police and Sheriff's Patrol Officers
RC,3,"Potters, Manufacturing"
RC,3,Power Distributors and Dispatchers
RIC,3,Precision Agriculture Technicians
RSI,3,Radiation Therapists
RCI,3,"Radio, Cellular, and Tower Equipment Installers and Repairers"
RCI,3,Radiologic Technologists and Technicians
RCI,3,Robotics Technicians
RCI,3,Security and Fire Alarm Systems Installers
RCE,3,Ship Engineers
RC,3,Signal and Track Switch Repairers
RS,3,Skincare Specialists
REC,3,Solar Energy Installation Managers
RC,3,Solar Thermal Installers and Technicians
RAC,3,Sound Engineering Technicians
RCI,3,Stationary Engineers and Boiler Operators
R,3,Stonemasons
RC,3,Structural Metal Fabricators and Fitters
RCS,3,Surgical Assistants
RCS,3,Surgical Technologists
RCI,3,Surveying and Mapping Technicians
RC,3,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
RC,3,Tool and Die Makers
RCI,3,Traffic Technicians
RC,3,Transit and Railroad Police
RIC,3,Veterinary Technologists and Technicians
RC,3,Watch and Clock Repairers
RC,3,Water and Wastewater Treatment Plant and System Operators
RCI,3,Wind Turbine Service Technicians
RCE,4,"Airline Pilots, Copilots, and Flight Engineers"
RIC,4,Automotive Engineers
RIC,4,Biological Technicians
RIC,4,Chemical Engineers
RIC,4,Civil Engineers
RIC,4,Computer Hardware Engineers
RIC,4,Electrical Engineers
RIC,4,"Electronics Engineers, Except Computer"
RIC,4,"Energy Engineers, Except Wind and Solar"
RIC,4,Environmental Engineering Technologists and Technicians
RIS,4,Exercise Physiologists
RIC,4,Fire-Prevention and Protection Engineers
RCI,4,Fish and Game Wardens
RIC,4,Foresters
RIC,4,Fuel Cell Engineers
RCI,4,Geodetic Surveyors
RCI,4,"Geological Technicians, Except Hydrologic Technicians"
RIA,4,Landscape Architects
RIC,4,Manufacturing Engineers
RIC,4,Marine Engineers and Naval Architects
RIC,4,Materials Engineers
RIC,4,Mechanical Engineers
RIC,4,Mechatronics Engineers
RIC,4,"Mining and Geological Engineers, Including Mining Safety Engineers"
RC,4,Museum Technicians and Conservators
RIC,4,Nanotechnology Engineering Technologists and Technicians
RIC,4,Petroleum Engineers
RIE,4,Range Managers
RCI,4,Remote Sensing Technicians
RIC,4,Robotics Engineers
RIC,4,Solar Energy Systems Engineers
RIC,4,Transportation Engineers
RIC,4,Water/Wastewater Engineers
RIC,4,Wind Energy Engineers
RAI,5,"Architects, Except Landscape and Naval"
RIS,5,Orthotists and Prosthetists
RIS,5,Prosthodontists
RI,5,Veterinarians
SR,5,Adapted Physical Education Specialists
IR,5,Anthropologists and Archeologists
IR,5,Astronomers
SRI,5,Athletic Trainers
SRI,5,Chiropractors
IRC,5,Cytotechnologists
IRS,5,"Dentists, General"
IRS,5,Dermatologists
IRC,5,Environmental Restoration Planners
IRC,5,"Geoscientists, Except Hydrologists and Geographers"
IRC,5,Human Factors Engineers and Ergonomists
IRC,5,Microsystems Engineers
SRI,5,Nurse Anesthetists
IRC,5,Orthodontists
IRS,5,"Orthopedic Surgeons, Except Pediatric"
IR,5,Soil and Plant Scientists
RIC,2,Dental Laboratory Technicians
RIC,2,Non-Destructive Testing Specialists
SIC,2,Psychiatric Aides
RIC,2,Veterinary Assistants and Laboratory Animal Caretakers
RCI,2,Agricultural Inspectors
RCI,2,Animal Control Workers
RCI,2,Biofuels Processing Technicians
RCI,2,Chemical Equipment Operators and Tenders
RCI,2,Chemical Plant and System Operators
RCI,2,"Earth Drillers, Except Oil and Gas"
RCI,2,Electrical and Electronic Equipment Assemblers
RCI,2,Electromechanical Equipment Assemblers
RCI,2,Endoscopy Technicians
RCI,2,"Explosives Workers, Ordnance Handling Experts, and Blasters"
RCI,2,Geothermal Technicians
RCI,2,"Inspectors, Testers, Sorters, Samplers, and Weighers"
RCI,2,Locomotive Engineers
RCI,2,Medical Equipment Preparers
RCI,2,Operating Engineers and Other Construction Equipment Operators
RCI,2,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
IRC,3,Chemical Technicians
IC,3,Computer Systems Analysts
ICR,3,Coroners
ICR,3,Detectives and Criminal Investigators
ICR,3,Forensic Science Technicians
ICR,3,Medical Dosimetrists
IRC,3,Neurodiagnostic Technologists
RIC,3,Cardiovascular Technologists and Technicians
RIC,3,Civil Engineering Technologists and Technicians
RIC,3,Commercial Divers
RIC,3,Electrical and Electronic Engineering Technologists and Technicians
CIS,3,Health Information Technologists and Medical Registrars
SIC,3,Hearing Aid Specialists
RIC,3,Medical Appliance Technicians
CIE,3,Paralegals and Legal Assistants
RIC,3,Precision Agriculture Technicians
SI,3,Psychiatric Technicians
CIR,3,Quality Control Analysts
RIC,3,Veterinary Technologists and Technicians
CI,3,Web Developers
IRC,4,Aerospace Engineers
IRC,4,Agricultural Engineers
IRC,4,Atmospheric and Space Scientists
IR,4,Bioengineers and Biomedical Engineers
IER,4,Biofuels/Biodiesel Technology and Product Development Managers
ICR,4,Bioinformatics Technicians
IRC,4,Chemists
ICE,4,Clinical Research Coordinators
ICR,4,Computer Network Architects
ICR,4,Computer Systems Engineers/Architects
IRC,4,Conservation Scientists
IRC,4,Cytogenetic Technologists
IC,4,Data Scientists
IC,4,Digital Forensics Analysts
IRC,4,Environmental Engineers
IRC,4,"Environmental Science and Protection Technicians, Including Health"
IRC,4,"Environmental Scientists and Specialists, Including Health"
IRC,4,Food Scientists and Technologists
IR,4,Geographers
IRC,4,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
ICS,4,Health Informatics Specialists
IRC,4,Histotechnologists
IC,4,Intelligence Analysts
IRC,4,Medical and Clinical Laboratory Technologists
IRC,4,Nuclear Engineers
ICR,4,Occupational Health and Safety Specialists
ICR,4,Penetration Testers
IRC,4,Photonics Engineers
IRC,4,Remote Sensing Scientists and Technologists
IC,4,Social Science Research Assistants
ICR,4,Software Developers
ICR,4,Software Quality Assurance Analysts and Testers
IEC,4,Sustainability Specialists
IC,4,Transportation Planners
ICR,4,Validation Engineers
IRC,4,Water Resource Specialists
IAC,4,Web and Digital Interface Designers
IR,4,Zoologists and Wildlife Biologists
IS,5,Advanced Practice Psychiatric Nurses
ISR,5,Allergists and Immunologists
ISR,5,Anesthesiologists
IR,5,Animal Scientists
IR,5,Anthropologists and Archeologists
IR,5,Astronomers
ISC,5,Audiologists
IR,5,Biochemists and Biophysicists
ICR,5,Bioinformatics Scientists
ICR,5,Biologists
IC,5,Biostatisticians
IRS,5,Cardiologists
IS,5,"Chemistry Teachers, Postsecondary"
IEC,5,Climate Change Policy Analysts
IS,5,Clinical Neuropsychologists
ICR,5,Computer and Information Research Scientists
IRC,5,Cytotechnologists
IRS,5,"Dentists, General"
IRS,5,Dermatologists
ICE,5,Economists
ISC,5,Emergency Medicine Physicians
IEC,5,Environmental Economists
IRC,5,Environmental Restoration Planners
IS,5,Epidemiologists
IC,5,Financial Quantitative Analysts
ISR,5,General Internal Medicine Physicians
ISC,5,Genetic Counselors
ICR,5,Geneticists
IRC,5,"Geoscientists, Except Hydrologists and Geographers"
IC,5,Historians
IRC,5,Human Factors Engineers and Ergonomists
IRC,5,Hydrologists
IRC,5,Industrial Ecologists
IES,5,Industrial-Organizational Psychologists
